Date,Open,High,Low,Close,Volume,Change,Symbol
2021-01-04,72500,72700,70500,72700,23399,0.004143646408839796,00104K
2021-01-05,72300,74800,72200,74700,21131,0.02751031636863832,00104K
2021-01-06,75000,76000,74100,75000,20200,0.004016064257028162,00104K
2021-01-07,75000,76400,75000,76100,15594,0.014666666666666606,00104K
2021-01-08,76600,81900,76400,81400,36061,0.06964520367936933,00104K
2021-01-11,81600,82400,75600,78700,33883,-0.033169533169533194,00104K
2021-01-12,78100,80000,75100,78400,23449,-0.003811944091486663,00104K
2021-01-13,78800,81200,78800,81200,20895,0.03571428571428581,00104K
2021-01-14,81100,86500,80800,85600,43757,0.054187192118226646,00104K
2021-01-15,86000,87600,84500,86400,36089,0.009345794392523255,00104K
2021-01-18,84400,84400,80000,81300,29126,-0.05902777777777779,00104K
2021-01-19,81000,82600,79600,82300,20101,0.012300123001230068,00104K
2021-01-20,82600,82900,80800,81500,22814,-0.009720534629404587,00104K
2021-01-21,81600,83200,81400,82000,12915,0.006134969325153339,00104K
2021-01-22,82000,83300,81400,81500,14823,-0.0060975609756097615,00104K
2021-01-25,81600,83600,81500,83600,13447,0.025766871165644245,00104K
2021-01-26,83800,83800,80700,81000,28793,-0.031100478468899517,00104K
2021-01-27,81200,82300,80600,81900,14857,0.011111111111111072,00104K
2021-01-28,79900,80500,76500,76600,37904,-0.0647130647130647,00104K
2021-01-29,78000,78000,73500,73500,40891,-0.04046997389033946,00104K
2021-02-01,73600,76600,73400,76300,10692,0.03809523809523818,00104K
2021-02-02,76300,79300,76300,78200,10372,0.02490170380078638,00104K
2021-02-03,78600,79400,78000,79100,34542,0.011508951406649537,00104K
2021-02-04,78600,79000,77700,78600,16263,-0.006321112515802807,00104K
2021-02-05,79400,79400,77500,78900,7244,0.003816793893129722,00104K
2021-02-08,79100,79100,77900,79000,13427,0.0012674271229404788,00104K
2021-02-09,78900,79200,78300,78600,5981,-0.005063291139240533,00104K
2021-02-10,78200,79000,77700,78000,4691,-0.007633587786259555,00104K
2021-02-15,78300,78700,77700,78000,14871,0.0,00104K
2021-02-16,78400,78500,77600,78200,12143,0.002564102564102555,00104K
2021-02-17,78200,78300,76400,76700,11945,-0.019181585677749413,00104K
2021-02-18,77400,77400,75200,75200,11186,-0.019556714471968717,00104K
2021-02-19,76000,76000,74200,75600,17706,0.005319148936170137,00104K
2021-02-22,76200,76600,75200,76600,7052,0.013227513227513255,00104K
2021-02-23,75000,77900,75000,77500,7240,0.011749347258485532,00104K
2021-02-24,77400,77400,74600,76200,9235,-0.01677419354838705,00104K
2021-02-25,75900,77000,75900,76200,8413,0.0,00104K
2021-02-26,75000,75300,72400,73600,16374,-0.034120734908136496,00104K
2021-03-02,74000,74600,72400,72600,7231,-0.013586956521739135,00104K
2021-03-03,72600,73100,71000,72900,23383,0.004132231404958775,00104K
2021-03-04,72500,72500,71200,71800,3238,-0.015089163237311354,00104K
2021-03-05,71700,71700,70500,71200,7449,-0.00835654596100277,00104K
2021-03-08,71600,71600,69600,69900,11993,-0.018258426966292096,00104K
2021-03-09,70000,70700,68800,70500,7498,0.008583690987124415,00104K
2021-03-10,70300,72600,69600,71000,17419,0.007092198581560183,00104K
2021-03-11,70600,72000,70600,71100,4697,0.0014084507042253502,00104K
2021-03-12,71500,73500,71400,73300,7741,0.030942334739803012,00104K
2021-03-15,73400,73400,72500,72800,3256,-0.006821282401091366,00104K
2021-03-16,73800,73800,72800,73500,2389,0.009615384615384581,00104K
2021-03-17,73500,73600,72400,73300,3227,-0.0027210884353741083,00104K
2021-03-18,73700,73700,72600,73000,2485,-0.004092769440654842,00104K
2021-03-19,72900,73000,71800,73000,4658,0.0,00104K
2021-03-22,73000,73000,71800,73000,3178,0.0,00104K
2021-03-23,72900,73100,71700,72300,5176,-0.009589041095890427,00104K
2021-03-24,72300,72500,71500,72500,3386,0.0027662517289073207,00104K
2021-03-25,72800,73100,72100,72800,3458,0.004137931034482678,00104K
2021-03-26,72900,74300,72700,74300,7177,0.02060439560439553,00104K
2021-03-29,74600,74600,72800,74200,5885,-0.0013458950201884479,00104K
2021-03-30,74200,74900,73800,74300,3519,0.0013477088948787852,00104K
2021-03-31,74200,74900,74200,74700,3272,0.0053835800807537915,00104K
2021-04-01,74700,74900,73800,74000,2469,-0.009370816599732268,00104K
2021-04-02,74100,74100,73400,73800,3954,-0.002702702702702675,00104K
2021-04-05,73800,73900,72700,73700,3526,-0.0013550135501354532,00104K
2021-04-06,73700,74300,73500,74000,4369,0.004070556309362372,00104K
2021-04-07,74200,74500,73400,74500,7717,0.006756756756756799,00104K
2021-04-08,74500,74500,73300,74000,8925,-0.006711409395973145,00104K
2021-04-09,74200,74300,73600,74300,10350,0.004054054054054124,00104K
2021-04-12,74300,74400,73800,74300,3015,0.0,00104K
2021-04-13,74500,76100,74200,75700,12553,0.018842530282638048,00104K
2021-04-14,75400,76100,75100,75700,4720,0.0,00104K
2021-04-15,75200,77300,74900,77300,31807,0.021136063408190298,00104K
2021-04-16,77400,77900,76900,77200,6832,-0.001293661060802087,00104K
2021-04-19,77500,77700,76800,77300,13467,0.0012953367875647714,00104K
2021-04-20,76800,77900,76800,77800,3283,0.0064683053040104355,00104K
