Date,Open,High,Low,Close,Volume,Change,Symbol
2022-04-28,41600,45500,41000,43450,184729,,37550L
2022-04-29,43750,45250,43600,44850,33628,0.03222094361334871,37550L
2022-05-02,44800,44800,43750,44300,17659,-0.012263099219620988,37550L
2022-05-03,43500,43650,42250,42300,27285,-0.04514672686230248,37550L
2022-05-04,42600,43100,42250,42800,9533,0.011820330969267046,37550L
2022-05-06,43050,43050,41200,42100,8886,-0.016355140186915862,37550L
2022-05-09,41800,41800,40650,41000,11832,-0.026128266033254133,37550L
2022-05-10,40650,41450,39850,41000,6816,0.0,37550L
2022-05-11,40400,41000,40000,41000,4831,0.0,37550L
2022-05-12,41000,41100,40200,40300,7641,-0.017073170731707332,37550L
2022-05-13,39900,41250,39900,40700,2478,0.00992555831265518,37550L
2022-05-16,40700,41000,40200,40200,2428,-0.012285012285012331,37550L
2022-05-17,40200,41000,39950,40200,2929,0.0,37550L
2022-05-18,41000,41000,39450,39650,8399,-0.013681592039801016,37550L
2022-05-19,39000,40200,38100,38450,8710,-0.030264817150063017,37550L
2022-05-20,39750,39750,37800,38200,12130,-0.006501950585175553,37550L
2022-05-23,38200,38200,37750,38000,2711,-0.005235602094240788,37550L
2022-05-24,38900,38900,38200,38350,5313,0.009210526315789558,37550L
2022-05-25,38400,39500,38050,39300,9126,0.024771838331160367,37550L
2022-05-26,38800,39850,38800,39100,1654,-0.0050890585241730735,37550L
2022-05-27,39800,40000,39100,39500,3265,0.010230179028132946,37550L
2022-05-30,39600,40050,39600,40000,1970,0.012658227848101333,37550L
2022-05-31,40000,40550,39700,40200,6343,0.004999999999999893,37550L
2022-06-02,40200,40300,39050,39150,3359,-0.026119402985074647,37550L
2022-06-03,39250,39450,38800,39300,3314,0.003831417624521105,37550L
2022-06-07,39300,39300,38000,38400,3067,-0.022900763358778664,37550L
2022-06-08,38350,39900,38200,38350,1893,-0.0013020833333333703,37550L
2022-06-09,38350,38600,37950,38250,2223,-0.0026075619295958807,37550L
2022-06-10,38150,39000,38100,38650,2357,0.010457516339869244,37550L
